event_id,magnitude_bin,annual_rate,central_return_period
EV00000,nuisance,0.0035714285714285713,2
EV00001,nuisance,0.0035714285714285713,2
EV00002,nuisance,0.0035714285714285713,2
EV00003,nuisance,0.0035714285714285713,2
EV00004,nuisance,0.0035714285714285713,2
EV00005,nuisance,0.0035714285714285713,2
EV00006,nuisance,0.0035714285714285713,2
EV00007,nuisance,0.0035714285714285713,2
EV00008,nuisance,0.0035714285714285713,2
EV00009,nuisance,0.0035714285714285713,2
EV00010,nuisance,0.0035714285714285713,2
EV00011,nuisance,0.0035714285714285713,2
EV00012,nuisance,0.0035714285714285713,2
EV00013,nuisance,0.0035714285714285713,2
EV00014,nuisance,0.0035714285714285713,2
EV00015,nuisance,0.0035714285714285713,2
EV00016,nuisance,0.0035714285714285713,2
EV00017,nuisance,0.0035714285714285713,2
EV00018,nuisance,0.0035714285714285713,2
EV00019,nuisance,0.0035714285714285713,2
EV00020,nuisance,0.0035714285714285713,2
EV00021,nuisance,0.0035714285714285713,2
EV00022,nuisance,0.0035714285714285713,2
EV00023,nuisance,0.0035714285714285713,2
EV00024,nuisance,0.0035714285714285713,2
EV00025,nuisance,0.0035714285714285713,2
EV00026,nuisance,0.0035714285714285713,2
EV00027,nuisance,0.0035714285714285713,2
EV00028,nuisance,0.0035714285714285713,2
EV00029,nuisance,0.0035714285714285713,2
EV00030,nuisance,0.0035714285714285713,2
EV00031,nuisance,0.0035714285714285713,2
EV00032,nuisance,0.0035714285714285713,2
EV00033,nuisance,0.0035714285714285713,2
EV00034,nuisance,0.0035714285714285713,2
EV00035,nuisance,0.0035714285714285713,2
EV00036,nuisance,0.0035714285714285713,2
EV00037,nuisance,0.0035714285714285713,2
EV00038,nuisance,0.0035714285714285713,2
EV00039,nuisance,0.0035714285714285713,2
EV00040,nuisance,0.0035714285714285713,2
EV00041,nuisance,0.0035714285714285713,2
EV00042,nuisance,0.0035714285714285713,2
EV00043,nuisance,0.0035714285714285713,2
EV00044,nuisance,0.0035714285714285713,2
EV00045,nuisance,0.0035714285714285713,2
EV00046,nuisance,0.0035714285714285713,2
EV00047,nuisance,0.0035714285714285713,2
EV00048,nuisance,0.0035714285714285713,2
EV00049,nuisance,0.0035714285714285713,2
EV00050,nuisance,0.0035714285714285713,2
EV00051,nuisance,0.0035714285714285713,2
EV00052,nuisance,0.0035714285714285713,2
EV00053,nuisance,0.0035714285714285713,2
EV00054,nuisance,0.0035714285714285713,2
EV00055,nuisance,0.0035714285714285713,2
EV00056,nuisance,0.0035714285714285713,2
EV00057,nuisance,0.0035714285714285713,2
EV00058,nuisance,0.0035714285714285713,2
EV00059,nuisance,0.0035714285714285713,2
EV00060,nuisance,0.0035714285714285713,2
EV00061,nuisance,0.0035714285714285713,2
EV00062,nuisance,0.0035714285714285713,2
EV00063,nuisance,0.0035714285714285713,2
EV00064,nuisance,0.0035714285714285713,2
EV00065,nuisance,0.0035714285714285713,2
EV00066,nuisance,0.0035714285714285713,2
EV00067,nuisance,0.0035714285714285713,2
EV00068,nuisance,0.0035714285714285713,2
EV00069,nuisance,0.0035714285714285713,2
EV00070,nuisance,0.0035714285714285713,2
EV00071,nuisance,0.0035714285714285713,2
EV00072,nuisance,0.0035714285714285713,2
EV00073,nuisance,0.0035714285714285713,2
EV00074,nuisance,0.0035714285714285713,2
EV00075,nuisance,0.0035714285714285713,2
EV00076,nuisance,0.0035714285714285713,2
EV00077,nuisance,0.0035714285714285713,2
EV00078,nuisance,0.0035714285714285713,2
EV00079,nuisance,0.0035714285714285713,2
EV00080,nuisance,0.0035714285714285713,2
EV00081,nuisance,0.0035714285714285713,2
EV00082,nuisance,0.0035714285714285713,2
EV00083,nuisance,0.0035714285714285713,2
EV00084,nuisance,0.0035714285714285713,2
EV00085,nuisance,0.0035714285714285713,2
EV00086,nuisance,0.0035714285714285713,2
EV00087,nuisance,0.0035714285714285713,2
EV00088,nuisance,0.0035714285714285713,2
EV00089,nuisance,0.0035714285714285713,2
EV00090,nuisance,0.0035714285714285713,2
EV00091,nuisance,0.0035714285714285713,2
EV00092,nuisance,0.0035714285714285713,2
EV00093,nuisance,0.0035714285714285713,2
EV00094,nuisance,0.0035714285714285713,2
EV00095,nuisance,0.0035714285714285713,2
EV00096,nuisance,0.0035714285714285713,2
EV00097,nuisance,0.0035714285714285713,2
EV00098,nuisance,0.0035714285714285713,2
EV00099,nuisance,0.0035714285714285713,2
EV00100,nuisance,0.0035714285714285713,2
EV00101,nuisance,0.0035714285714285713,2
EV00102,nuisance,0.0035714285714285713,2
EV00103,nuisance,0.0035714285714285713,2
EV00104,nuisance,0.0035714285714285713,2
EV00105,nuisance,0.0035714285714285713,2
EV00106,nuisance,0.0035714285714285713,2
EV00107,nuisance,0.0035714285714285713,2
EV00108,nuisance,0.0035714285714285713,2
EV00109,nuisance,0.0035714285714285713,2
EV00110,nuisance,0.0035714285714285713,2
EV00111,nuisance,0.0035714285714285713,2
EV00112,nuisance,0.0035714285714285713,2
EV00113,nuisance,0.0035714285714285713,2
EV00114,nuisance,0.0035714285714285713,2
EV00115,nuisance,0.0035714285714285713,2
EV00116,nuisance,0.0035714285714285713,2
EV00117,nuisance,0.0035714285714285713,2
EV00118,nuisance,0.0035714285714285713,2
EV00119,nuisance,0.0035714285714285713,2
EV00120,nuisance,0.0035714285714285713,2
EV00121,nuisance,0.0035714285714285713,2
EV00122,nuisance,0.0035714285714285713,2
EV00123,nuisance,0.0035714285714285713,2
EV00124,nuisance,0.0035714285714285713,2
EV00125,nuisance,0.0035714285714285713,2
EV00126,nuisance,0.0035714285714285713,2
EV00127,nuisance,0.0035714285714285713,2
EV00128,nuisance,0.0035714285714285713,2
EV00129,nuisance,0.0035714285714285713,2
EV00130,nuisance,0.0035714285714285713,2
EV00131,nuisance,0.0035714285714285713,2
EV00132,nuisance,0.0035714285714285713,2
EV00133,nuisance,0.0035714285714285713,2
EV00134,nuisance,0.0035714285714285713,2
EV00135,nuisance,0.0035714285714285713,2
EV00136,nuisance,0.0035714285714285713,2
EV00137,nuisance,0.0035714285714285713,2
EV00138,nuisance,0.0035714285714285713,2
EV00139,nuisance,0.0035714285714285713,2
EV00140,minor,0.0015384615384615385,5
EV00141,minor,0.0015384615384615385,5
EV00142,minor,0.0015384615384615385,5
EV00143,minor,0.0015384615384615385,5
EV00144,minor,0.0015384615384615385,5
EV00145,minor,0.0015384615384615385,5
EV00146,minor,0.0015384615384615385,5
EV00147,minor,0.0015384615384615385,5
EV00148,minor,0.0015384615384615385,5
EV00149,minor,0.0015384615384615385,5
EV00150,minor,0.0015384615384615385,5
EV00151,minor,0.0015384615384615385,5
EV00152,minor,0.0015384615384615385,5
EV00153,minor,0.0015384615384615385,5
EV00154,minor,0.0015384615384615385,5
EV00155,minor,0.0015384615384615385,5
EV00156,minor,0.0015384615384615385,5
EV00157,minor,0.0015384615384615385,5
EV00158,minor,0.0015384615384615385,5
EV00159,minor,0.0015384615384615385,5
EV00160,minor,0.0015384615384615385,5
EV00161,minor,0.0015384615384615385,5
EV00162,minor,0.0015384615384615385,5
EV00163,minor,0.0015384615384615385,5
EV00164,minor,0.0015384615384615385,5
EV00165,minor,0.0015384615384615385,5
EV00166,minor,0.0015384615384615385,5
EV00167,minor,0.0015384615384615385,5
EV00168,minor,0.0015384615384615385,5
EV00169,minor,0.0015384615384615385,5
EV00170,minor,0.0015384615384615385,5
EV00171,minor,0.0015384615384615385,5
EV00172,minor,0.0015384615384615385,5
EV00173,minor,0.0015384615384615385,5
EV00174,minor,0.0015384615384615385,5
EV00175,minor,0.0015384615384615385,5
EV00176,minor,0.0015384615384615385,5
EV00177,minor,0.0015384615384615385,5
EV00178,minor,0.0015384615384615385,5
EV00179,minor,0.0015384615384615385,5
EV00180,minor,0.0015384615384615385,5
EV00181,minor,0.0015384615384615385,5
EV00182,minor,0.0015384615384615385,5
EV00183,minor,0.0015384615384615385,5
EV00184,minor,0.0015384615384615385,5
EV00185,minor,0.0015384615384615385,5
EV00186,minor,0.0015384615384615385,5
EV00187,minor,0.0015384615384615385,5
EV00188,minor,0.0015384615384615385,5
EV00189,minor,0.0015384615384615385,5
EV00190,minor,0.0015384615384615385,5
EV00191,minor,0.0015384615384615385,5
EV00192,minor,0.0015384615384615385,5
EV00193,minor,0.0015384615384615385,5
EV00194,minor,0.0015384615384615385,5
EV00195,minor,0.0015384615384615385,5
EV00196,minor,0.0015384615384615385,5
EV00197,minor,0.0015384615384615385,5
EV00198,minor,0.0015384615384615385,5
EV00199,minor,0.0015384615384615385,5
EV00200,minor,0.0015384615384615385,5
EV00201,minor,0.0015384615384615385,5
EV00202,minor,0.0015384615384615385,5
EV00203,minor,0.0015384615384615385,5
EV00204,minor,0.0015384615384615385,5
EV00205,minor,0.0015384615384615385,5
EV00206,minor,0.0015384615384615385,5
EV00207,minor,0.0015384615384615385,5
EV00208,minor,0.0015384615384615385,5
EV00209,minor,0.0015384615384615385,5
EV00210,minor,0.0015384615384615385,5
EV00211,minor,0.0015384615384615385,5
EV00212,minor,0.0015384615384615385,5
EV00213,minor,0.0015384615384615385,5
EV00214,minor,0.0015384615384615385,5
EV00215,minor,0.0015384615384615385,5
EV00216,minor,0.0015384615384615385,5
EV00217,minor,0.0015384615384615385,5
EV00218,minor,0.0015384615384615385,5
EV00219,minor,0.0015384615384615385,5
EV00220,minor,0.0015384615384615385,5
EV00221,minor,0.0015384615384615385,5
EV00222,minor,0.0015384615384615385,5
EV00223,minor,0.0015384615384615385,5
EV00224,minor,0.0015384615384615385,5
EV00225,minor,0.0015384615384615385,5
EV00226,minor,0.0015384615384615385,5
EV00227,minor,0.0015384615384615385,5
EV00228,minor,0.0015384615384615385,5
EV00229,minor,0.0015384615384615385,5
EV00230,minor,0.0015384615384615385,5
EV00231,minor,0.0015384615384615385,5
EV00232,minor,0.0015384615384615385,5
EV00233,minor,0.0015384615384615385,5
EV00234,minor,0.0015384615384615385,5
EV00235,minor,0.0015384615384615385,5
EV00236,minor,0.0015384615384615385,5
EV00237,minor,0.0015384615384615385,5
EV00238,minor,0.0015384615384615385,5
EV00239,minor,0.0015384615384615385,5
EV00240,minor,0.0015384615384615385,5
EV00241,minor,0.0015384615384615385,5
EV00242,minor,0.0015384615384615385,5
EV00243,minor,0.0015384615384615385,5
EV00244,minor,0.0015384615384615385,5
