loss,exceedance_prob,return_period_years
0.0,0.5844,1.7111567419575633
3386554.3238806548,0.58295,1.7154129856763016
3799764.862643244,0.58153,1.7196017402369612
4337295.782799825,0.58017,1.7236327283382458
4606710.701250967,0.57884,1.7275931172690207
4657535.24887928,0.57725,1.7323516673884798
4755125.657537802,0.57569,1.73704597960708
4816539.969129081,0.5742,1.7415534656913967
4953485.662089885,0.57271,1.7460844057201723
5408121.300818335,0.5712,1.7507002801120446
5464182.711853538,0.5699,1.7546938059308652
5477897.56926297,0.56845,1.7591696719148562
5488882.992261764,0.56704,1.7635440180586908
5665798.4090952445,0.56568,1.767783906095319
5777207.542376611,0.56431,1.7720756321879818
5942345.612417857,0.56294,1.7763882474153552
5995631.709594843,0.56137,1.7813563247056308
5996624.279147845,0.55989,1.7860651199342727
6005200.440237049,0.55867,1.7899654536667442
6018939.013184824,0.55725,1.794526693584567
6023169.281063305,0.55602,1.79849645696198
6027835.870813565,0.55439,1.803784339544364
6037197.745038094,0.55293,1.8085471940390283
6460167.9109365055,0.55162,1.812842173960335
6508001.343298825,0.55027,1.8172896941501444
6527792.478127748,0.54894,1.821692716872518
6554834.692167189,0.54735,1.8269845619804512
6666167.047949493,0.54595,1.8316695668101473
6750026.997128538,0.54467,1.8359740760460463
6762379.834350139,0.54323,1.8408408961213483
6815137.634594068,0.54162,1.8463129131125144
6965216.335215202,0.54011,1.85147469959823
6991775.479865093,0.53855,1.8568378052177144
7101002.246140659,0.53711,1.861816015341364
7141032.628504204,0.53563,1.8669604017698782
7282527.914703421,0.53414,1.8721683453776166
7375967.542651335,0.53257,1.877687440148713
7443029.238393913,0.53109,1.8829200323862247
7503646.437152933,0.52952,1.8885027949841366
7563609.154481918,0.52801,1.8939035245544593
7707307.060207013,0.5266,1.8989745537409801
7723850.10668048,0.52659,1.8990106154693405
7728414.014892113,0.52484,1.9053425805959912
7814425.236326847,0.52363,1.9097454309340562
7879768.410650327,0.52225,1.9147917663954046
7897729.02103815,0.52084,1.9199754243145688
8007648.394320772,0.51933,1.9255579304103365
8027896.285298104,0.51792,1.9308001235712078
8125080.817041025,0.51631,1.936820902171176
8141679.981418457,0.5163,1.936858415649816
8178843.749937272,0.51489,1.9421624036201908
8290832.335293303,0.51332,1.9481025481181329
8340039.98597054,0.51331,1.9481404998928522
8391508.878099462,0.51179,1.9539264151312064
8406475.56389421,0.51177,1.9540027746839403
8482609.237855114,0.51025,1.9598236158745714
8504991.919199593,0.50875,1.9656019656019654
8674591.56559965,0.50874,1.9656406022722805
8690505.322732758,0.50722,1.9715310910453057
8722093.116015498,0.50585,1.9768706138183254
8749370.200578064,0.50436,1.9827107621540168
8794675.62469899,0.50435,1.982750074353128
8829867.918317575,0.50288,1.9885459751829462
8836536.882363116,0.50127,1.9949328705089073
8864451.893143624,0.50126,1.9949726688744363
8994831.031679105,0.50125,1.9950124688279303
9153835.751928907,0.50124,1.9950522703694835
9207886.163461579,0.50123,1.9950920734991922
9213421.402501933,0.50122,1.99513187821715
9248636.38543349,0.49976,2.00096046102129
9263947.574496781,0.49975,2.0010005002501248
9290781.44488971,0.49974,2.001040541081362
9361836.35878877,0.49972,2.001120627551429
9382186.033475498,0.49971,2.0011606731904505
9409723.60494396,0.4997,2.0012007204322595
9414390.194694221,0.49969,2.0012407692769516
9465563.271738488,0.49968,2.0012808197246237
9474075.218008362,0.49967,2.0013208717753717
9554454.261012316,0.49803,2.0079111700098387
9560196.36334085,0.49802,2.0079514878920524
9576972.405019855,0.498,2.0080321285140563
9635074.535040397,0.49642,2.0144232706176224
9782158.49850342,0.49497,2.0203244641089357
9801478.494653363,0.49495,2.0204061016264268
9815193.352062795,0.49494,2.0204469228593367
9826178.775061589,0.49493,2.020487745741822
9846722.23481716,0.49492,2.0205285702739837
9854264.830902014,0.49356,2.026096117999838
9865173.930592958,0.49181,2.0333055448242208
9894555.66717948,0.4918,2.03334688897926
9895612.888862375,0.49039,2.0391932951324456
9981064.27464203,0.48898,2.045073418135711
9987901.464909498,0.48793,2.049474309839526
10042145.998409696,0.48639,2.0559633216143425
10045177.683007514,0.48489,2.062323413557714
10050821.529921044,0.48338,2.0687657743390293
10084608.270513937,0.48337,2.068808573142727
10095593.69351273,0.48335,2.0688941760628943
10135432.81814225,0.48334,2.0689369801795836
10198047.679891802,0.4819,2.0751193193608635
10212426.889577724,0.48035,2.0818153429790778
10244008.649799567,0.48033,2.0819020256906713
10259932.77357975,0.48032,2.0819453697534978
10279641.395217683,0.48031,2.0819887156211614
10280722.68098262,0.4803,2.0820320632937745
10305422.961390845,0.48029,2.0820754127714505
10323333.657974524,0.48028,2.0821187640543015
10333920.06194767,0.48027,2.082162117142441
10356234.795984648,0.48026,2.0822054720359806
10360465.06386313,0.48024,2.0822921872397133
10365131.65361339,0.48023,2.0823355475501324
10374493.52783792,0.48022,2.082378909666403
10378329.803745747,0.4802,2.0824656393169514
10420924.066633046,0.48019,2.0825090068514545
10473415.163637757,0.47839,2.090344697840674
10532333.199914414,0.47838,2.0903883941636354
10549791.859771783,0.47837,2.090432092313481
10557403.032947248,0.47679,2.097359424484574
10562144.696993383,0.47678,2.097403414572759
10603334.980398811,0.47677,2.097447406506282
10611911.141488016,0.47675,2.097535395909806
10629879.982314272,0.47674,2.0975793933800393
10634546.572064532,0.47672,2.09766739385803
10653166.958474122,0.47671,2.097711396866019
10662735.689116329,0.4767,2.097755401720159
10669082.238584075,0.47669,2.097799408420567
10676474.262064103,0.47668,2.0978434169673577
10680704.529942585,0.47666,2.097931439600554
10751749.936685648,0.47665,2.0979754536871917
10758885.581546938,0.47664,2.098019469620678
10760326.097774852,0.47663,2.0980634874011286
10764981.197858445,0.47662,2.09810750702866
10769638.256022278,0.47541,2.1034475505353276
10774928.437592648,0.47414,2.1090817058252838
10783146.434713703,0.47232,2.1172086720867207
10785986.148584582,0.47081,2.1239990654404113
10791540.342508337,0.4708,2.1240441801189465
10792323.402575895,0.47078,2.1241344152257957
10812171.678723924,0.47077,2.1241795356543536
10813164.248276927,0.47076,2.12422465799983
10825745.233054593,0.4693,2.1308331557639035
10829583.562274568,0.46929,2.1308785612307957
10839293.166531978,0.46787,2.1373458439310062
10865088.260927573,0.46786,2.1373915273799855
10872304.012671873,0.46785,2.1374372127818746
10886018.870081306,0.46784,2.137482900136799
10890200.761033587,0.46782,2.1375742807062545
10949117.371684728,0.46781,2.137619973921036
10952764.936390903,0.46633,2.144404177299337
10966780.561524734,0.46631,2.1444961506294096
11018385.29553137,0.46485,2.1512315800795956
11066878.612187471,0.46484,2.1512778590482746
11082292.777346665,0.46483,2.151324140008175
11087322.779928364,0.46482,2.1513704229594253
